date_time,symbol,high,low,open,close,adj_close,volume
1991-04-02,REGN,23.25,20.75,22.0,21.125,21.125,2294100
1991-04-03,REGN,21.25,17.0,21.25,18.25,18.25,1716100
1991-04-04,REGN,19.5,17.75,18.25,18.0,18.0,810600
1991-04-05,REGN,18.5,17.75,18.5,17.75,17.75,238200
1991-04-08,REGN,18.0,17.5,18.0,17.625,17.625,200100
1991-04-09,REGN,18.0,16.0,18.0,16.0,16.0,319000
1991-04-10,REGN,16.25,15.5,16.0,15.875,15.875,582100
1991-04-11,REGN,16.5,14.75,16.0,14.75,14.75,319400
1991-04-12,REGN,16.5,14.75,14.75,16.25,16.25,329700
1991-04-15,REGN,16.75,16.0,16.5,16.125,16.125,171400
1991-04-16,REGN,16.375,16.0,16.375,16.125,16.125,130500
1991-04-17,REGN,16.375,15.25,16.375,15.25,15.25,187600
1991-04-18,REGN,15.5,14.5,15.5,15.25,15.25,320300
1991-04-19,REGN,15.25,14.625,15.25,14.875,14.875,68900
1991-04-22,REGN,14.875,14.125,14.875,14.125,14.125,79000
1991-04-23,REGN,14.75,14.125,14.125,14.25,14.25,335000
1991-04-24,REGN,14.75,14.375,14.625,14.75,14.75,90500
1991-04-25,REGN,14.75,14.375,14.375,14.5,14.5,115400
1991-04-26,REGN,14.5,14.0,14.5,14.375,14.375,122600
1991-04-29,REGN,14.375,12.375,14.375,12.5,12.5,183700
1991-04-30,REGN,13.0,12.0,13.0,12.625,12.625,330000
1991-05-01,REGN,13.875,12.5,12.75,13.5,13.5,237800
1991-05-02,REGN,14.125,13.25,14.0,13.5,13.5,153900
1991-05-03,REGN,13.625,13.0,13.25,13.375,13.375,65300
1991-05-06,REGN,13.625,12.75,13.375,13.625,13.625,163700
1991-05-07,REGN,14.125,13.375,13.875,13.375,13.375,146100
1991-05-08,REGN,14.125,13.25,14.0,13.25,13.25,162600
1991-05-09,REGN,13.625,13.25,13.625,13.625,13.625,25700
1991-05-10,REGN,13.625,12.75,13.25,12.75,12.75,125200
1991-05-13,REGN,13.0,11.375,13.0,11.5,11.5,137900
1991-05-14,REGN,12.125,11.5,11.75,11.875,11.875,173200
1991-05-15,REGN,12.125,10.25,12.125,10.75,10.75,186200
1991-05-16,REGN,11.5,10.375,10.75,11.25,11.25,230000
1991-05-17,REGN,12.125,11.125,11.625,11.75,11.75,75000
1991-05-20,REGN,11.875,11.0,11.75,11.375,11.375,83000
1991-05-21,REGN,12.25,11.25,11.375,12.25,12.25,139700
1991-05-22,REGN,12.375,11.625,11.875,12.125,12.125,184200
1991-05-23,REGN,12.75,11.875,12.5,11.875,11.875,135900
1991-05-24,REGN,12.25,11.875,11.875,12.25,12.25,14600
1991-05-28,REGN,12.25,11.875,12.25,12.0,12.0,16900
1991-05-29,REGN,12.75,12.0,12.0,12.625,12.625,245700
1991-05-30,REGN,13.25,12.125,12.875,12.25,12.25,253200
1991-05-31,REGN,12.5,12.125,12.5,12.25,12.25,85200
1991-06-03,REGN,12.5,11.5,12.5,11.75,11.75,102400
1991-06-04,REGN,12.125,11.625,12.0,12.125,12.125,59800
1991-06-05,REGN,12.125,11.875,12.125,11.875,11.875,48900
1991-06-06,REGN,12.125,11.875,11.875,11.875,11.875,13200
1991-06-07,REGN,12.125,11.5,12.125,11.625,11.625,32500
1991-06-10,REGN,11.875,11.125,11.5,11.625,11.625,69400
1991-06-11,REGN,11.625,11.125,11.625,11.625,11.625,26800
1991-06-12,REGN,11.5,10.75,11.5,11.0,11.0,113400
1991-06-13,REGN,11.0,10.25,11.0,10.375,10.375,59600
1991-06-14,REGN,11.0,10.375,10.75,11.0,11.0,152800
1991-06-17,REGN,11.25,10.875,10.875,10.875,10.875,20400
1991-06-18,REGN,11.5,10.875,10.875,11.25,11.25,130100
1991-06-19,REGN,11.5,11.25,11.5,11.5,11.5,27700
1991-06-20,REGN,12.0,11.0,11.5,12.0,12.0,58900
1991-06-21,REGN,12.25,11.75,12.0,12.0,12.0,48200
1991-06-24,REGN,12.0,11.0,11.75,11.5,11.5,78300
1991-06-25,REGN,11.5,11.0,11.0,11.125,11.125,48000
1991-06-26,REGN,11.25,11.0,11.0,11.0,11.0,91800
1991-06-27,REGN,11.25,11.0,11.25,11.25,11.25,16200
1991-06-28,REGN,11.25,10.75,11.0,11.125,11.125,59700
1991-07-01,REGN,11.125,10.75,10.75,11.125,11.125,15900
1991-07-02,REGN,11.125,10.375,11.125,10.625,10.625,43900
1991-07-03,REGN,10.75,10.375,10.75,10.5,10.5,38200
1991-07-05,REGN,10.75,10.25,10.375,10.25,10.25,43900
1991-07-08,REGN,10.5,9.875,10.0,10.25,10.25,44400
1991-07-09,REGN,10.875,10.0,10.0,10.75,10.75,45100
1991-07-10,REGN,11.0,10.5,10.5,10.5,10.5,11500
1991-07-11,REGN,11.0,10.5,10.5,10.875,10.875,15400
1991-07-12,REGN,10.875,10.5,10.875,10.5,10.5,40600
1991-07-15,REGN,11.25,10.5,10.5,11.25,11.25,36800
1991-07-16,REGN,11.5,10.5,11.5,10.75,10.75,39000
1991-07-17,REGN,10.875,10.5,10.5,10.75,10.75,47500
1991-07-18,REGN,11.0,10.625,10.75,11.0,11.0,38400
1991-07-19,REGN,11.0,10.625,10.625,11.0,11.0,14300
1991-07-22,REGN,11.0,10.5,11.0,10.5,10.5,68700
1991-07-23,REGN,10.875,10.25,10.5,10.5,10.5,9700
1991-07-24,REGN,10.75,10.25,10.75,10.25,10.25,14400
1991-07-25,REGN,10.75,9.75,10.25,9.875,9.875,50400
1991-07-26,REGN,10.25,9.75,10.125,10.25,10.25,16200
1991-07-29,REGN,10.25,9.875,10.25,10.25,10.25,4400
1991-07-30,REGN,10.625,10.0,10.25,10.625,10.625,108100
1991-07-31,REGN,12.0,10.75,10.875,11.5,11.5,83200
1991-08-01,REGN,11.75,11.25,11.625,11.25,11.25,28400
1991-08-02,REGN,11.5,11.25,11.5,11.25,11.25,17600
1991-08-05,REGN,11.5,11.25,11.375,11.5,11.5,3700
1991-08-06,REGN,11.5,10.5,11.25,10.75,10.75,91300
1991-08-07,REGN,10.875,10.625,10.625,10.875,10.875,10400
1991-08-08,REGN,11.25,10.625,10.875,10.75,10.75,25800
1991-08-09,REGN,10.875,10.125,10.875,10.625,10.625,34300
1991-08-12,REGN,10.625,10.25,10.625,10.625,10.625,10900
1991-08-13,REGN,10.625,10.25,10.25,10.625,10.625,15900
1991-08-14,REGN,10.75,10.25,10.375,10.25,10.25,49000
1991-08-15,REGN,10.75,10.25,10.25,10.75,10.75,180400
1991-08-16,REGN,11.0,10.5,10.75,10.875,10.875,32900
1991-08-19,REGN,10.25,9.75,10.25,10.125,10.125,58600
1991-08-20,REGN,10.5,10.125,10.5,10.375,10.375,37900
1991-08-21,REGN,11.0,10.25,10.375,10.625,10.625,103900
1991-08-22,REGN,10.875,10.25,10.875,10.5,10.5,38700
1991-08-23,REGN,10.75,10.25,10.25,10.5,10.5,40100
1991-08-26,REGN,10.75,10.5,10.75,10.5,10.5,24300
1991-08-27,REGN,10.75,10.25,10.375,10.375,10.375,32700
1991-08-28,REGN,10.625,10.25,10.625,10.5,10.5,89700
1991-08-29,REGN,12.25,10.5,10.625,12.0,12.0,516600
1991-08-30,REGN,12.25,11.375,12.25,11.5,11.5,124000
1991-09-03,REGN,13.0,12.125,12.125,12.375,12.375,270400
1991-09-04,REGN,13.0,12.375,12.625,12.875,12.875,99500
1991-09-05,REGN,13.5,12.875,13.125,13.375,13.375,196100
1991-09-06,REGN,13.75,12.875,13.375,12.875,12.875,249300
1991-09-09,REGN,13.125,12.5,12.75,12.75,12.75,55300
1991-09-10,REGN,13.125,12.375,12.875,12.5,12.5,66100
1991-09-11,REGN,12.5,12.0,12.5,12.25,12.25,39900
1991-09-12,REGN,13.125,12.125,12.25,13.125,13.125,177000
1991-09-13,REGN,13.375,12.875,12.875,13.25,13.25,66500
1991-09-16,REGN,13.375,13.0,13.375,13.0,13.0,54200
1991-09-17,REGN,13.25,12.75,13.25,13.0,13.0,31900
1991-09-18,REGN,13.125,12.375,13.125,12.625,12.625,123300
1991-09-19,REGN,16.25,12.625,13.25,16.0,16.0,879400
1991-09-20,REGN,17.5,15.75,17.5,16.125,16.125,533100
1991-09-23,REGN,16.0,14.5,16.0,15.0,15.0,274000
1991-09-24,REGN,15.25,14.0,15.25,14.5,14.5,210700
1991-09-25,REGN,14.75,14.25,14.75,14.5,14.5,40300
1991-09-26,REGN,14.625,13.75,14.0,14.25,14.25,136700
1991-09-27,REGN,14.75,14.0,14.5,14.75,14.75,91400
1991-09-30,REGN,14.75,14.0,14.75,14.75,14.75,79400
1991-10-01,REGN,14.75,14.25,14.25,14.25,14.25,134600
1991-10-02,REGN,15.75,14.25,14.75,15.0,15.0,107300
1991-10-03,REGN,15.5,14.75,15.5,15.25,15.25,101800
1991-10-04,REGN,16.25,15.25,15.5,15.75,15.75,183500
1991-10-07,REGN,15.75,15.0,15.75,15.0,15.0,61300
1991-10-08,REGN,15.5,15.0,15.0,15.5,15.5,22300
1991-10-09,REGN,16.25,15.5,16.0,16.125,16.125,235500
1991-10-10,REGN,16.25,15.5,15.75,16.0,16.0,343400
1991-10-11,REGN,16.0,15.5,15.5,15.75,15.75,176300
1991-10-14,REGN,16.25,15.5,16.0,16.0,16.0,58900
1991-10-15,REGN,17.5,16.0,16.0,17.5,17.5,377800
1991-10-16,REGN,18.75,16.75,17.25,18.25,18.25,349800
1991-10-17,REGN,18.0,17.0,18.0,17.0,17.0,129100
1991-10-18,REGN,17.75,17.0,17.0,17.25,17.25,141400
1991-10-21,REGN,17.75,17.25,17.25,17.75,17.75,68100
1991-10-22,REGN,19.25,17.25,17.25,18.75,18.75,260900
1991-10-23,REGN,20.5,18.25,18.5,18.5,18.5,633000
1991-10-24,REGN,19.5,16.25,18.5,17.5,17.5,524600
1991-10-25,REGN,19.0,17.75,19.0,18.125,18.125,235500
1991-10-28,REGN,18.5,18.0,18.0,18.0,18.0,24600
1991-10-29,REGN,18.5,17.75,18.5,17.75,17.75,15500
1991-10-30,REGN,19.75,17.75,17.75,19.5,19.5,240200
1991-10-31,REGN,19.75,19.0,19.25,19.25,19.25,99300
1991-11-01,REGN,19.75,18.5,19.75,19.0,19.0,120500
1991-11-04,REGN,18.75,17.75,18.75,17.75,17.75,66400
1991-11-05,REGN,18.25,17.75,17.75,17.875,17.875,71900
1991-11-06,REGN,18.5,17.75,17.75,18.0,18.0,59300
1991-11-07,REGN,19.75,18.25,18.5,19.25,19.25,176400
1991-11-08,REGN,20.0,18.25,19.5,20.0,20.0,646600
1991-11-11,REGN,20.5,18.5,20.25,20.5,20.5,925300
1991-11-12,REGN,21.0,19.0,20.5,20.0,20.0,579000
1991-11-13,REGN,20.0,19.75,19.75,19.75,19.75,217700
1991-11-14,REGN,20.0,18.0,19.75,18.5,18.5,668400
1991-11-15,REGN,18.25,14.5,18.0,14.75,14.75,599100
1991-11-18,REGN,15.75,13.75,15.0,15.75,15.75,396800
1991-11-19,REGN,16.0,14.5,15.75,15.125,15.125,217800
1991-11-20,REGN,16.25,14.75,16.0,15.25,15.25,199400
1991-11-21,REGN,15.0,14.0,14.875,14.5,14.5,143300
1991-11-22,REGN,15.0,14.25,14.25,14.375,14.375,139500
1991-11-25,REGN,14.75,14.25,14.75,14.75,14.75,89400
1991-11-26,REGN,14.75,14.0,14.75,14.25,14.25,125800
1991-11-27,REGN,14.75,14.25,14.25,14.75,14.75,25700
1991-11-29,REGN,15.875,14.5,15.0,15.75,15.75,41500
1991-12-02,REGN,16.0,15.0,15.5,15.75,15.75,45900
1991-12-03,REGN,15.75,15.0,15.75,15.75,15.75,20100
1991-12-04,REGN,16.25,15.25,15.75,15.75,15.75,84700
1991-12-05,REGN,16.25,15.75,15.75,15.75,15.75,57800
1991-12-06,REGN,16.25,15.5,16.25,16.25,16.25,8000
1991-12-09,REGN,16.25,15.5,16.25,16.0,16.0,5300
1991-12-10,REGN,15.5,14.875,15.5,15.0,15.0,27300
1991-12-11,REGN,15.25,14.5,14.75,14.625,14.625,19700
1991-12-12,REGN,15.25,14.5,14.5,14.75,14.75,31600
1991-12-13,REGN,15.75,15.0,15.0,15.75,15.75,130400
1991-12-16,REGN,16.0,15.25,15.75,15.5,15.5,119200
1991-12-17,REGN,17.25,15.5,15.5,17.0,17.0,250600
1991-12-18,REGN,17.5,16.75,17.25,17.0,17.0,53000
1991-12-19,REGN,17.25,16.5,16.5,16.75,16.75,74700
1991-12-20,REGN,17.0,16.5,17.0,16.5,16.5,89600
1991-12-23,REGN,16.75,16.0,16.25,16.75,16.75,66300
1991-12-24,REGN,17.5,16.5,16.75,17.5,17.5,53100
1991-12-26,REGN,18.0,16.75,16.75,18.0,18.0,33900
1991-12-27,REGN,18.0,17.5,17.5,17.5,17.5,18700
1991-12-30,REGN,17.5,17.0,17.5,17.25,17.25,65500
1991-12-31,REGN,18.25,17.0,17.0,18.125,18.125,150300
1992-01-02,REGN,18.75,17.75,18.25,18.75,18.75,98300
1992-01-03,REGN,19.25,18.25,18.75,18.25,18.25,165300
1992-01-06,REGN,18.75,18.0,18.25,18.5,18.5,99300
1992-01-07,REGN,18.75,17.75,17.75,18.375,18.375,112100
1992-01-08,REGN,18.75,17.75,18.0,18.0,18.0,107400
1992-01-09,REGN,20.0,18.5,19.0,19.5,19.5,445500
1992-01-10,REGN,19.75,19.0,19.0,19.75,19.75,94100
1992-01-13,REGN,19.5,18.75,19.5,19.25,19.25,349800
1992-01-14,REGN,20.5,18.75,19.5,19.875,19.875,315500
1992-01-15,REGN,20.25,19.5,19.75,19.5,19.5,279700
1992-01-16,REGN,19.75,17.75,19.75,18.5,18.5,132900
1992-01-17,REGN,19.0,17.75,18.75,18.5,18.5,51700
1992-01-20,REGN,18.75,18.0,18.0,18.25,18.25,33500
1992-01-21,REGN,18.0,17.0,18.0,17.0,17.0,141000
1992-01-22,REGN,18.5,17.0,17.0,18.25,18.25,89100
1992-01-23,REGN,20.25,19.5,19.5,20.25,20.25,343300
1992-01-24,REGN,20.75,19.75,20.25,20.25,20.25,126300
1992-01-27,REGN,20.75,20.0,20.75,20.0,20.0,452900
1992-01-28,REGN,20.5,19.5,20.0,20.0,20.0,126800
1992-01-29,REGN,20.25,19.75,19.75,20.0,20.0,178200
1992-01-30,REGN,20.25,20.0,20.25,20.0,20.0,106000
1992-01-31,REGN,21.0,20.0,20.0,20.5,20.5,153100
1992-02-03,REGN,21.5,20.5,21.0,21.25,21.25,302900
1992-02-04,REGN,22.0,21.0,21.0,21.25,21.25,311700
1992-02-05,REGN,22.5,21.25,21.25,22.25,22.25,103800
1992-02-06,REGN,23.25,22.5,22.5,22.5,22.5,278300
1992-02-07,REGN,23.0,21.75,23.0,22.25,22.25,321800
1992-02-10,REGN,23.0,21.5,22.0,22.125,22.125,298800
1992-02-11,REGN,22.5,21.25,22.5,21.25,21.25,373800
1992-02-12,REGN,21.75,20.75,21.75,21.0,21.0,59400
1992-02-13,REGN,21.0,19.25,21.0,19.75,19.75,190500
1992-02-14,REGN,19.25,18.0,19.25,18.25,18.25,109200
1992-02-18,REGN,18.75,16.5,18.25,17.0,17.0,90900
1992-02-19,REGN,17.5,15.25,16.5,17.5,17.5,209800
1992-02-20,REGN,19.0,17.75,18.25,19.0,19.0,111100
1992-02-21,REGN,19.0,17.75,18.5,18.5,18.5,29000
1992-02-24,REGN,18.5,17.75,17.75,17.75,17.75,54300
1992-02-25,REGN,18.5,17.0,17.75,17.5,17.5,39800
1992-02-26,REGN,19.0,17.25,17.75,18.5,18.5,58700
1992-02-27,REGN,18.75,18.25,18.75,18.25,18.25,35200
1992-02-28,REGN,18.75,17.75,18.75,18.0,18.0,31400
1992-03-02,REGN,18.25,17.75,18.0,17.75,17.75,11700
1992-03-03,REGN,18.5,17.75,17.75,18.25,18.25,13000
1992-03-04,REGN,17.75,15.75,17.75,16.5,16.5,115600
1992-03-05,REGN,16.75,15.75,16.75,16.0,16.0,53600
1992-03-06,REGN,16.25,15.75,16.25,16.25,16.25,36800
1992-03-09,REGN,16.625,16.0,16.25,16.25,16.25,31800
1992-03-10,REGN,17.75,16.5,17.0,17.75,17.75,28900
1992-03-11,REGN,17.75,16.5,17.75,16.75,16.75,28400
1992-03-12,REGN,17.25,16.0,17.25,16.25,16.25,110600
1992-03-13,REGN,16.25,15.75,16.25,16.0,16.0,20000
1992-03-16,REGN,16.0,14.75,15.75,15.0,15.0,73600
1992-03-17,REGN,16.25,15.0,15.0,16.0,16.0,26400
1992-03-18,REGN,16.5,15.75,16.25,15.75,15.75,31100
1992-03-19,REGN,16.25,15.75,16.25,16.25,16.25,7900
1992-03-20,REGN,16.5,15.75,16.25,16.5,16.5,24000
1992-03-23,REGN,16.5,16.0,16.5,16.5,16.5,6200
1992-03-24,REGN,16.5,16.0,16.5,16.5,16.5,3000
1992-03-25,REGN,16.5,15.5,16.25,16.0,16.0,84900
1992-03-26,REGN,16.25,15.25,16.25,15.75,15.75,29800
1992-03-27,REGN,15.5,14.75,15.25,15.0,15.0,66300
1992-03-30,REGN,15.25,14.5,15.25,14.5,14.5,62400
1992-03-31,REGN,15.25,14.5,14.5,15.25,15.25,65400
1992-04-01,REGN,16.5,15.5,15.75,16.0,16.0,105800
1992-04-02,REGN,16.25,15.25,16.0,15.25,15.25,49900
1992-04-03,REGN,15.25,14.5,15.25,15.0,15.0,31200
1992-04-06,REGN,15.75,14.5,14.5,15.25,15.25,78800
1992-04-07,REGN,15.75,14.75,15.25,15.25,15.25,66400
1992-04-08,REGN,15.0,14.25,14.5,14.25,14.25,105100
1992-04-09,REGN,14.75,14.25,14.5,14.75,14.75,75000
1992-04-10,REGN,15.25,14.5,14.5,14.5,14.5,10200
1992-04-13,REGN,15.0,14.5,15.0,14.5,14.5,9400
1992-04-14,REGN,15.25,14.75,14.75,14.75,14.75,50600
1992-04-15,REGN,15.0,12.0,15.0,13.0,13.0,209100
1992-04-16,REGN,13.0,11.25,13.0,11.625,11.625,173400
1992-04-20,REGN,12.5,10.75,11.625,12.5,12.5,145100
1992-04-21,REGN,13.0,12.25,13.0,12.625,12.625,121300
1992-04-22,REGN,12.75,12.0,12.75,12.75,12.75,40800
1992-04-23,REGN,12.75,12.0,12.75,12.25,12.25,44400
1992-04-24,REGN,12.25,11.25,12.25,11.375,11.375,61400
1992-04-27,REGN,12.5,11.25,11.25,12.5,12.5,53300
1992-04-28,REGN,13.125,12.25,12.5,12.5,12.5,66700
1992-04-29,REGN,14.0,13.0,13.0,13.75,13.75,74200
1992-04-30,REGN,14.25,13.5,14.0,13.5,13.5,94000
