date_time,symbol,high,low,open,close,adj_close,volume
1994-09-13,SIRI,4.875,4.5,4.5,4.625,4.079391956329346,74000
1994-09-14,SIRI,4.75,3.625,4.5,4.375,3.858883619308472,335100
1994-09-15,SIRI,4.546875,4.375,4.5,4.546875,4.0104827880859375,43600
1994-09-16,SIRI,4.75,4.25,4.375,4.75,4.189645767211914,171900
1994-09-19,SIRI,4.875,4.875,4.875,4.875,4.299899578094482,2100
1994-09-20,SIRI,4.546875,4.25,4.5,4.375,3.858883619308472,81000
1994-09-21,SIRI,4.171875,4.125,4.125,4.171875,3.679721355438232,8000
1994-09-22,SIRI,4.375,4.375,4.375,4.375,3.858883619308472,6100
1994-09-23,SIRI,4.375,4.125,4.375,4.125,3.638375997543335,6700
1994-09-26,SIRI,4.375,4.125,4.375,4.25,3.7486298084259033,6600
1994-09-27,SIRI,4.25,3.75,4.25,4.0,3.5281219482421875,205500
1994-09-28,SIRI,4.125,4.125,4.125,4.125,3.638375997543335,11600
1994-09-29,SIRI,4.125,3.75,3.75,4.125,3.638375997543335,9600
1994-09-30,SIRI,4.125,4.125,4.125,4.125,3.638375997543335,1000
1994-10-03,SIRI,3.875,3.875,3.875,3.875,3.417868137359619,9000
1994-10-04,SIRI,4.0,3.625,4.0,3.625,3.1973605155944824,18300
1994-10-05,SIRI,3.875,3.6875,3.75,3.6875,3.2524876594543457,21100
1994-10-06,SIRI,3.875,3.625,3.875,3.875,3.417868137359619,4000
1994-10-07,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,1600
1994-10-10,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,0
1994-10-11,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,0
1994-10-12,SIRI,3.75,3.6875,3.75,3.75,3.307615041732788,7000
1994-10-13,SIRI,3.875,3.625,3.875,3.625,3.1973605155944824,14200
1994-10-14,SIRI,3.875,3.625,3.875,3.625,3.1973605155944824,8500
1994-10-17,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,200
1994-10-18,SIRI,3.875,3.625,3.625,3.875,3.417868137359619,6800
1994-10-19,SIRI,3.875,3.625,3.875,3.625,3.1973605155944824,5200
1994-10-20,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,900
1994-10-21,SIRI,3.875,3.875,3.875,3.875,3.417868137359619,2000
1994-10-24,SIRI,4.125,3.875,3.875,4.125,3.638375997543335,27300
1994-10-25,SIRI,4.0,4.0,4.0,4.0,3.5281219482421875,1200
1994-10-26,SIRI,4.125,4.125,4.125,4.125,3.638375997543335,100
1994-10-27,SIRI,4.125,4.125,4.125,4.125,3.638375997543335,12500
1994-10-28,SIRI,4.125,4.125,4.125,4.125,3.638375997543335,1500
1994-10-31,SIRI,3.75,3.75,3.75,3.75,3.307615041732788,400
1994-11-01,SIRI,3.875,3.875,3.875,3.875,3.417868137359619,2000
1994-11-02,SIRI,4.0,3.75,4.0,3.75,3.307615041732788,1300
1994-11-03,SIRI,3.75,3.75,3.75,3.75,3.307615041732788,3600
1994-11-04,SIRI,3.75,3.75,3.75,3.75,3.307615041732788,0
1994-11-07,SIRI,4.0,3.75,4.0,3.75,3.307615041732788,8000
1994-11-08,SIRI,3.75,3.75,3.75,3.75,3.307615041732788,4000
1994-11-09,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,12000
1994-11-10,SIRI,3.875,3.625,3.875,3.625,3.1973605155944824,20100
1994-11-11,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,0
1994-11-14,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,0
1994-11-15,SIRI,3.875,3.5,3.5,3.5,3.087106943130493,31400
1994-11-16,SIRI,3.875,3.5,3.875,3.5,3.087106943130493,3800
1994-11-17,SIRI,3.625,3.5,3.5,3.625,3.1973605155944824,2000
1994-11-18,SIRI,3.5,3.5,3.5,3.5,3.087106943130493,9000
1994-11-21,SIRI,3.5,3.5,3.5,3.5,3.087106943130493,500
1994-11-22,SIRI,3.375,2.75,3.375,2.75,2.425584316253662,16300
1994-11-23,SIRI,2.75,2.5,2.5,2.75,2.425584316253662,3600
1994-11-25,SIRI,2.5,2.125,2.5,2.5,2.2050766944885254,12500
1994-11-28,SIRI,2.625,2.375,2.5,2.375,2.094822883605957,40500
1994-11-29,SIRI,2.875,2.5,2.75,2.5,2.2050766944885254,17200
1994-11-30,SIRI,2.875,2.5,2.875,2.75,2.425584316253662,7000
1994-12-01,SIRI,2.875,2.5,2.875,2.5,2.2050766944885254,8500
1994-12-02,SIRI,2.75,2.5,2.5,2.75,2.425584316253662,5500
1994-12-05,SIRI,2.375,2.25,2.375,2.25,1.9845689535140991,5900
1994-12-06,SIRI,2.5,2.25,2.25,2.25,1.9845689535140991,4700
1994-12-07,SIRI,2.25,2.25,2.25,2.25,1.9845689535140991,2600
1994-12-08,SIRI,2.375,2.0,2.125,2.0,1.7640609741210938,4300
1994-12-09,SIRI,2.25,1.875,2.0,1.875,1.653807520866394,27400
1994-12-12,SIRI,2.25,2.0,2.25,2.25,1.9845689535140991,4100
1994-12-13,SIRI,2.125,1.875,2.125,1.875,1.653807520866394,7000
1994-12-14,SIRI,1.875,1.625,1.875,1.6875,1.4884263277053833,8300
1994-12-15,SIRI,1.875,1.625,1.625,1.75,1.5435534715652466,38200
1994-12-16,SIRI,1.8125,1.6875,1.8125,1.6875,1.4884263277053833,11600
1994-12-19,SIRI,1.8125,1.6875,1.8125,1.75,1.5435534715652466,18000
1994-12-20,SIRI,1.875,1.75,1.8125,1.875,1.653807520866394,21400
1994-12-21,SIRI,1.875,1.75,1.8125,1.875,1.653807520866394,20800
1994-12-22,SIRI,1.90625,1.6875,1.875,1.6875,1.4884263277053833,32500
1994-12-23,SIRI,2.125,1.875,1.875,2.0,1.7640609741210938,58200
1994-12-27,SIRI,1.875,1.75,1.875,1.875,1.653807520866394,8400
1994-12-28,SIRI,2.0,1.875,1.9375,1.875,1.653807520866394,20500
1994-12-29,SIRI,2.0,1.75,1.8125,1.875,1.653807520866394,20100
1994-12-30,SIRI,2.046875,1.75,2.0,2.03125,1.7916245460510254,111200
1995-01-03,SIRI,2.125,1.875,2.125,2.125,1.874314904212952,53500
1995-01-04,SIRI,2.125,1.875,2.125,1.875,1.653807520866394,27000
1995-01-05,SIRI,2.125,1.875,1.875,2.0,1.7640609741210938,28000
1995-01-06,SIRI,4.0,2.125,2.125,4.0,3.5281219482421875,420300
1995-01-09,SIRI,5.375,4.125,4.375,4.875,4.299899578094482,88200
1995-01-10,SIRI,4.875,4.125,4.875,4.375,3.858883619308472,165900
1995-01-11,SIRI,4.625,3.875,4.5,4.25,3.7486298084259033,120900
1995-01-12,SIRI,5.125,4.125,4.25,4.1875,3.6935031414031982,325700
1995-01-13,SIRI,4.5625,4.0,4.4375,4.1875,3.6935031414031982,86800
1995-01-16,SIRI,4.5,3.875,4.5,3.875,3.417868137359619,19800
1995-01-17,SIRI,4.125,3.375,3.9375,3.625,3.1973605155944824,49000
1995-01-18,SIRI,3.125,3.125,3.125,3.125,2.756345748901367,9000
1995-01-19,SIRI,3.6875,3.125,3.125,3.375,2.9768526554107666,16400
1995-01-20,SIRI,3.75,3.4375,3.625,3.75,3.307615041732788,12200
1995-01-23,SIRI,3.8125,3.5,3.5625,3.75,3.307615041732788,15600
1995-01-24,SIRI,3.5625,3.0625,3.5,3.25,2.8665993213653564,26700
1995-01-25,SIRI,3.4375,3.125,3.375,3.4375,3.031980037689209,9700
1995-01-26,SIRI,3.5,3.375,3.5,3.375,2.9768526554107666,2600
1995-01-27,SIRI,3.5625,3.375,3.5625,3.5625,3.1422340869903564,4900
1995-01-30,SIRI,3.625,3.25,3.5625,3.4375,3.031980037689209,48200
1995-01-31,SIRI,3.625,3.4375,3.5,3.625,3.1973605155944824,15500
1995-02-01,SIRI,3.875,3.5,3.75,3.625,3.1973605155944824,36300
1995-02-02,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,0
1995-02-03,SIRI,3.625,3.5,3.5,3.625,3.1973605155944824,5800
1995-02-06,SIRI,4.125,3.5,3.8125,4.0625,3.583249092102051,98000
1995-02-07,SIRI,4.4375,4.0,4.0625,4.25,3.7486298084259033,111400
1995-02-08,SIRI,4.375,4.0625,4.375,4.0625,3.583249092102051,22300
1995-02-09,SIRI,4.625,4.3125,4.375,4.5,3.9691379070281982,47500
1995-02-10,SIRI,4.8125,4.375,4.4375,4.5625,4.024264812469482,36900
1995-02-13,SIRI,4.75,4.375,4.75,4.5,3.9691379070281982,16400
1995-02-14,SIRI,4.375,4.125,4.375,4.125,3.638375997543335,20000
1995-02-15,SIRI,4.5,4.0625,4.5,4.125,3.638375997543335,67800
1995-02-16,SIRI,4.25,4.125,4.25,4.25,3.7486298084259033,35200
1995-02-17,SIRI,4.3125,4.125,4.3125,4.25,3.7486298084259033,2400
1995-02-21,SIRI,4.3125,4.125,4.3125,4.1875,3.6935031414031982,11100
1995-02-22,SIRI,4.25,4.125,4.25,4.1875,3.6935031414031982,42900
1995-02-23,SIRI,4.25,4.125,4.25,4.125,3.638375997543335,24600
1995-02-24,SIRI,4.21875,4.125,4.21875,4.125,3.638375997543335,10100
1995-02-27,SIRI,4.1875,4.0625,4.125,4.0625,3.583249092102051,84400
1995-02-28,SIRI,4.125,4.0625,4.0625,4.125,3.638375997543335,37000
1995-03-01,SIRI,4.0625,4.0625,4.0625,4.0625,3.583249092102051,1300
1995-03-02,SIRI,4.0625,4.0625,4.0625,4.0625,3.583249092102051,0
1995-03-03,SIRI,4.0625,4.0625,4.0625,4.0625,3.583249092102051,2900
1995-03-06,SIRI,4.1875,4.0625,4.0625,4.09375,3.610811710357666,46300
1995-03-07,SIRI,4.09375,4.0625,4.09375,4.0625,3.583249092102051,11600
1995-03-08,SIRI,4.1875,4.0625,4.1875,4.0625,3.583249092102051,12600
1995-03-09,SIRI,4.1875,4.0625,4.1875,4.1875,3.6935031414031982,3000
1995-03-10,SIRI,4.1875,4.0625,4.1875,4.0625,3.583249092102051,27000
1995-03-13,SIRI,4.1875,4.1875,4.1875,4.1875,3.6935031414031982,6200
1995-03-14,SIRI,4.09375,4.09375,4.09375,4.09375,3.610811710357666,500
1995-03-15,SIRI,4.25,4.25,4.25,4.25,3.7486298084259033,1000
1995-03-16,SIRI,4.25,4.0625,4.25,4.0625,3.583249092102051,2600
1995-03-17,SIRI,4.25,4.0625,4.0625,4.1875,3.6935031414031982,13200
1995-03-20,SIRI,4.1875,4.0,4.0,4.1875,3.6935031414031982,5900
1995-03-21,SIRI,4.125,4.0,4.0,4.125,3.638375997543335,9000
1995-03-22,SIRI,4.0625,4.0,4.0,4.0625,3.583249092102051,5400
1995-03-23,SIRI,4.0625,3.75,4.0625,4.0625,3.583249092102051,18600
1995-03-24,SIRI,4.0625,4.0625,4.0625,4.0625,3.583249092102051,0
1995-03-27,SIRI,4.0625,3.875,3.875,4.0625,3.583249092102051,70000
1995-03-28,SIRI,4.125,3.9375,4.125,3.9375,3.47299599647522,400
1995-03-29,SIRI,4.125,4.0,4.125,4.0,3.5281219482421875,10200
1995-03-30,SIRI,4.0625,3.9375,4.0,3.9375,3.47299599647522,4900
1995-03-31,SIRI,4.0625,3.9375,3.9375,3.9375,3.47299599647522,18000
1995-04-03,SIRI,4.0625,4.0625,4.0625,4.0625,3.583249092102051,100
1995-04-04,SIRI,4.0625,4.0625,4.0625,4.0625,3.583249092102051,400
1995-04-05,SIRI,4.0,3.875,3.9375,4.0,3.5281219482421875,34400
1995-04-06,SIRI,4.0625,3.9375,4.0625,3.9375,3.47299599647522,800
1995-04-07,SIRI,4.0625,3.9375,3.9375,4.0625,3.583249092102051,9000
1995-04-10,SIRI,4.0,3.9375,4.0,3.9375,3.47299599647522,21200
1995-04-11,SIRI,4.0,4.0,4.0,4.0,3.5281219482421875,2100
1995-04-12,SIRI,4.0,4.0,4.0,4.0,3.5281219482421875,1700
1995-04-13,SIRI,4.0,3.875,4.0,4.0,3.5281219482421875,13600
1995-04-17,SIRI,4.0625,3.9375,4.0,4.0625,3.583249092102051,37900
1995-04-18,SIRI,4.0625,3.9375,4.0625,4.0,3.5281219482421875,13900
1995-04-19,SIRI,4.0,4.0,4.0,4.0,3.5281219482421875,0
1995-04-20,SIRI,4.0625,3.875,3.875,4.0625,3.583249092102051,2000
1995-04-21,SIRI,4.0625,3.9375,3.9375,4.0625,3.583249092102051,6000
1995-04-24,SIRI,4.0625,3.9375,3.9375,4.0625,3.583249092102051,8200
1995-04-25,SIRI,4.0625,3.875,4.0625,3.9375,3.47299599647522,9200
1995-04-26,SIRI,3.9375,3.875,3.875,3.9375,3.47299599647522,4000
1995-04-27,SIRI,3.9375,3.9375,3.9375,3.9375,3.47299599647522,0
1995-04-28,SIRI,3.9375,3.9375,3.9375,3.9375,3.47299599647522,0
1995-05-01,SIRI,3.875,3.4375,3.4375,3.75,3.307615041732788,12900
1995-05-02,SIRI,3.75,3.75,3.75,3.75,3.307615041732788,0
1995-05-03,SIRI,3.4375,3.4375,3.4375,3.4375,3.031980037689209,100
1995-05-04,SIRI,3.8125,3.5,3.8125,3.5,3.087106943130493,8200
1995-05-05,SIRI,3.6875,3.5,3.5,3.6875,3.2524876594543457,7600
1995-05-08,SIRI,3.8125,3.5625,3.5625,3.6875,3.2524876594543457,3200
1995-05-09,SIRI,3.8125,3.8125,3.8125,3.8125,3.362741708755493,100
1995-05-10,SIRI,3.8125,3.8125,3.8125,3.8125,3.362741708755493,600
1995-05-11,SIRI,3.625,3.5625,3.5625,3.625,3.1973605155944824,2500
1995-05-12,SIRI,3.6875,3.625,3.625,3.625,3.1973605155944824,7500
1995-05-15,SIRI,3.625,3.625,3.625,3.625,3.1973605155944824,2500
1995-05-16,SIRI,3.8125,3.625,3.625,3.8125,3.362741708755493,2000
1995-05-17,SIRI,3.75,3.625,3.75,3.625,3.1973605155944824,4500
1995-05-18,SIRI,3.8125,3.5,3.8125,3.75,3.307615041732788,14900
1995-05-19,SIRI,3.625,3.25,3.375,3.5625,3.1422340869903564,48900
1995-05-22,SIRI,3.625,3.375,3.375,3.4375,3.031980037689209,31600
1995-05-23,SIRI,3.625,3.375,3.4375,3.5,3.087106943130493,7700
1995-05-24,SIRI,3.5,3.375,3.5,3.5,3.087106943130493,41100
1995-05-25,SIRI,3.5625,3.3125,3.375,3.5,3.087106943130493,16900
1995-05-26,SIRI,3.5,3.5,3.5,3.5,3.087106943130493,0
1995-05-30,SIRI,3.5,3.25,3.375,3.5,3.087106943130493,73000
1995-05-31,SIRI,3.75,3.375,3.5,3.75,3.307615041732788,58800
1995-06-01,SIRI,3.75,3.375,3.75,3.5,3.087106943130493,70900
1995-06-02,SIRI,3.875,3.375,3.625,3.875,3.417868137359619,50000
1995-06-05,SIRI,4.375,3.75,4.0,4.0,3.5281219482421875,120800
1995-06-06,SIRI,4.25,3.9375,4.25,3.9375,3.47299599647522,55300
1995-06-07,SIRI,4.125,3.9375,4.125,4.125,3.638375997543335,38000
1995-06-08,SIRI,4.125,3.8125,4.125,4.0,3.5281219482421875,13900
1995-06-09,SIRI,4.0,3.75,4.0,3.75,3.307615041732788,1800
1995-06-12,SIRI,3.875,3.625,3.625,3.875,3.417868137359619,21100
